instaID,lat,long,image
1022203687264871862_913245280,37.782580261,-122.21532139,https://scontent.cdninstagram.com/hphotos-xaf1/t50.2886-16/11723892_908448552564991_636535954_n.mp4
920625456882307349_38347483,37.804414291,-122.251496774,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/924756_412596178887551_2004166462_n.jpg
877240390495123453_242151420,37.80737242,-122.254306971,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/927738_751654308260433_880924362_n.jpg
864490978064204376_10985767,37.80688791,-122.258809658,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/924055_1523219964607110_1900805353_n.jpg
817814980139470520_49708378,37.799116119,-122.258911085,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/e15/10522790_448992538577149_1778692219_n.jpg
742862633002919198_481965824,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-ash/t50.2886-16/10472465_1435626623377172_669011699_n.mp4
742784722497496256_481965824,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-ash/t51.2885-15/e15/10467700_1413318752289124_1571403272_n.jpg
742752117412652246_481965824,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/e15/914364_1433865943542357_581261792_n.jpg
742730411696514729_481965824,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/10375594_724222190950516_2015127789_n.jpg
742722061206349248_481965824,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/e15/10471849_1419596931655546_130645601_n.jpg
742706914769298520_481965824,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/927075_293395444168352_1331455806_n.jpg
712656359991332343_49708378,37.799543,-122.244413,https://scontent.cdninstagram.com/hphotos-frc/t51.2885-15/e15/10296965_780129878672477_1022768078_n.jpg
712655491728461280_49708378,37.799543,-122.244413,https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/e15/917434_1447323335512286_585787236_n.jpg
712654451515903439_49708378,37.799543,-122.244413,https://scontent.cdninstagram.com/hphotos-frc/t51.2885-15/e15/10254213_1476017082615882_1308092501_n.jpg
687833598054845142_411572257,45.559406667,10.630482137,https://scontent.cdninstagram.com/hphotos-frc/t51.2885-15/e15/1737473_670597863001705_1443361497_n.jpg
680097458092893274_124472,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/e15/12139760_1666380946909164_2080453342_n.jpg
666949183759385533_962738519,37.802408402,-122.254463056,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357444_868330829881466_351425076_n.jpg
666946020515971950_962738519,37.802408402,-122.254463056,https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/e15/11380747_970785796300134_952943426_n.jpg
666943423939806005_962738519,37.802408402,-122.254463056,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/e15/11378975_1091486684199366_1667309276_n.jpg
666941248538870535_962738519,37.802408402,-122.254463056,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/e15/11357559_1594146224199206_2069895128_n.jpg
661156051541230402_962738519,37.8039,-122.2591,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/1741001_515010251945050_1972161337_n.jpg
641673991261906858_124472,37.80533065,-122.257333594,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/e15/12224548_562141073935222_829016646_n.jpg
641554715061308773_49708378,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-ash/t51.2885-15/e15/1662025_219442454908572_1667945976_n.jpg
640845690016490860_124472,37.80737242,-122.254306971,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/e15/1689172_1640075256243107_2114240468_n.jpg
635244366179795517_962738519,37.8039,-122.2591,https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/e15/1170477_687850551247702_1751134489_n.jpg
612588913588298928_124472,37.809373742,-122.24588052,https://scontent.cdninstagram.com/hphotos-xat1/t50.2886-16/12221583_605280139610440_471076958_n.mp4
612574294744360847_124472,37.809373742,-122.24588052,https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/e15/11950583_135008043525807_1570573223_n.jpg
612570446487217992_124472,37.807276272,-122.255017108,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/e15/11934603_1518932711761597_632879223_n.jpg
524335623550256155_6499848,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xat1/t51.2885-15/e15/11376611_1435988426707126_1368084548_n.jpg
508968174403406060_30859817,37.8129005,-122.2466507,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/e15/11262902_453061808205569_884814884_n.jpg
500154567364586220_44260905,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357629_665394523595213_758728886_n.jpg
499581921790929138_44260905,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/e15/11374127_363558510514867_1744101152_n.jpg
499530952138959749_44260905,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/e15/11377872_855246027901326_317199736_n.jpg
495208361713752258_2159117,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xtf1/t51.2885-15/e15/11326637_1405908876402418_1236793870_n.jpg
489318999562896428_6499848,37.808896652,-122.260243508,https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/e15/11269547_931483570235634_1029187949_n.jpg
464484163149056694_30859817,37.805159,-122.247116,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/11355986_986391271373166_850568218_n.jpg
456340009117805040_291589345,37.800718367,-122.263641069,https://scontent.cdninstagram.com/hphotos-xat1/t51.2885-15/e15/11333414_1451290831836944_915755716_n.jpg
1139557137946217235_19920737,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/12338533_1054159934647700_1823957488_n.jpg
